name,category,weight
Snow Peak Titanium Spork - Colored,Camping Sporks,17
Snow Peak Titanium Mug with HotLips,Camping Mugs,85
REI Personal Ice Box,Camp Coolers,453
Jetboil Sumo Companion Cup - 1.8 Liter,Cook Pots,354
Snow Peak Personal Cooker 3 Cookset,Cooksets,581
MSR Standard Fuel Pump,Stove Maintenance Kits,65
BioLite KettlePot,Cook Pots,464
YETI Hopper SideKick Gear Case,Camp Coolers,17
MSR Alpine 2 Pot Set,Cooksets,737
Lodge Logic Camp Dutch Oven - 1 qt.,Dutch Ovens,3175
GSI Outdoors Collapsible JavaDrip Slim Drip Coffee Maker,Drip Coffee Makers,136
Snow Peak Titanium Bowl,Camping Bowls,45
ENO LaunchPad Double Blanket,Picnic Blankets,1304
Alite Meadow Mat,Picnic Blankets,635
GSI Outdoors Glacier Stainless-Steel Tea Kettle,Camp Tea Pots,263
Primus ETA Lite Stove System,Backpacking Stoves,399
Camp Chef Popcorn Popper,Campfire Cookware,1814
MSR Dragonfly Fuel Pump,Stove Maintenance Kits,65
Snow Peak Titanium Plate,Camping Plates,56
Zojirushi Slicksteel Stainless-Steel Vacuum Mug - 16 fl. oz.,Camping Mugs,255
BioLite BaseCamp Stove,Camp Stoves,8127
BioLite CampStove Grill,Backpacking Stove Accessories,850
Esbit Solid Fuel Stove and Cookset,Backpacking Stoves,198
Snow Peak Titanium Single 450 Cup,Camping Cups,68
Primus Yellowstone Classic Trail Stove,Backpacking Stoves,226
Klean Kanteen Stainless-Steel Pint Cup - 16 fl. oz. - Package of 4,Camping Cups,99
Bleuet Stove with Cookset - 2014,Backpacking Stoves,283
Sea to Summit Alpha Light Spoon - Long,Camping Spoons,11
Klean Kanteen Insulated Pint Cup - 16 fl. oz.,Camping Cups,262
Open Country 4 Quart Pot with Lid,Cook Pots,453
Sea to Summit XL-Bowl,Camping Bowls,110
Snow Peak Colored Titanium Mug,Camping Mugs,68
Coleman Xtreme 5 Cooler - 70 qt.,Camp Coolers,5159
GSI Outdoors Pioneer Enamelware Chef's Tools,Camping Utensil Sets,470
Sea to Summit X-Pot Kettle - 1.3 Liter,Cook Pots,184
MSR WhisperLite Stove Service Kit,Stove Maintenance Kits,96
MSR Mountain Plate,Camping Plates,124
GSI Outdoors Commuter Java Press,Camp Coffee Presses,272
"Lodge Logic Cast Iron Skillet - 10.25""",Frying Pans,2409
GSI Outdoors Stainless-Steel Nesting Wineglass,Camping Glasses,133
Stanley Vacuum Crock - 3 Qt.,Cook Pots,1533
Camp Chef Cooking Iron,Campfire Cookware,1417
REI Camp Cookset,Cooksets,737
"LOKSAK OPSAK Odor-Proof Barrier Bags - 11"" x 9"" - Package of 2",Food Storage Containers,42
Open Country Campers 23'' x 12'' Grid,Campfire Grills,1956
GSI Outdoors Baked Enamelware Plate,Camping Plates,311
Sea to Summit Alpha Light Spork and Knife Set,Camping Sporks,0
REI Campware Mess Kit,Cooksets,517
MSR Fuel Bottle with CRP Cap - 30 fl. oz.,Fuel Bottles,206
