name,category,weight
Patagonia Hi-Loft Down Sweater Hoody - Toddler Girls',Kids' Down Jackets,223
Mammut Guye Jacket - Men's,Men's Synthetic Insulation Jackets,371
Arc'teryx Gamma MX Hoodie Jacket - Men's,Men's Soft-Shell Jackets,680
The North Face Denali Fleece Hoodie - Toddler Boys',Kids' Fleece Jackets,294
The North Face Nuptse 2 Down Jacket - Women's,Women's Down Jackets,649
Arc'teryx Cerium SL Jacket - Men's,Men's Down Jackets,184
Mountain Hardwear Stretch Ozonic Rain Jacket - Men's,Men's Multi-Sport Rain Jackets,283
Arc'teryx Fission SV Jacket - Women's,Women's Synthetic Insulation Jackets,708
Patagonia Ultralight Down Jacket - Women's,Women's Down Jackets,232
The North Face Varius Guide Rain Jacket - Men's,Men's Multi-Sport Rain Jackets,731
The North Face Inlux Insulated Jacket - Women's,Women's Synthetic Insulation Jackets,946
Arc'teryx Thorium AR Hoody - Men's,Men's Down Jackets,413
The North Face Canyonwall Fleece Jacket - Women's,Women's Fleece Jackets,459
Mountain Hardwear Alpen Plasmic Ion Rain Jacket - Men's,Men's Multi-Sport Rain Jackets,309
Patagonia Nano Puff Jacket - Girls',Kids' Synthetic Insulation Jackets,277
Eider Target Knit Spirit Jacket - Men's,Men's Multi-Sport Rain Jackets,377
The North Face Maddie Raschel Hoodie Jacket - Women's,Women's Soft-Shell Jackets,620
The North Face Reversible Mossbud Swirl Fleece Jacket - Girls',Kids' Synthetic Insulation Jackets,632
Mammut Methow Jacket - Men's,Men's Multi-Sport Rain Jackets,467
The North Face Denali Hoodie Fleece Jacket - Women's,Women's Fleece Jackets,581
Black Diamond Liquid Point Rain Jacket - Men's,Men's Multi-Sport Rain Jackets,411
The North Face Reflective Resolve Rain Jacket  - Girls',Kids' Multi-Sport Rain Jackets,368
The North Face Canyonwall Fleece Jacket - Men's,Men's Fleece Jackets,541
The North Face ThermoBall Full-Zip Insulated Jacket - Girls',Kids' Synthetic Insulation Jackets,311
The North Face Novelty Mezzaluna Hoodie - Women's,Women's Fleece Jackets,269
Marmot ROM Jacket - Men's,Men's Soft-Shell Jackets,527
Mountain Hardwear Thermostatic Jacket - Men's,Men's Synthetic Insulation Jackets,255
Patagonia Levitation Soft-Shell Hoodie - Men's,Men's Soft-Shell Jackets,459
REI Revelcloud Jacket - Women's,Women's Synthetic Insulation Jackets,300
Marmot Gravity Jacket - Men's,Men's Soft-Shell Jackets,708
Marmot Ramble Component 3-in-1 Jacket - Men's,Men's Synthetic Insulation Jackets,1136
Mammut Tatoosh Rain Jacket - Men's,Men's Multi-Sport Rain Jackets,365
Marmot Kitzbuhel Insulated Jacket - Women's,Women's Synthetic Insulation Jackets,430
Arc'teryx Epsilon LT Jacket - Men's,Men's Soft-Shell Jackets,464
Patagonia Nano-Air Jacket - Women's,Women's Synthetic Insulation Jackets,314
Arc'teryx Thorium AR Down Hoodie - Women's,Women's Down Jackets,362
Outdoor Research Rocky Mountain Low Gaiters,Gaiters,136
Arc'teryx Zeta LT Jacket - Women's,Women's Multi-Sport Rain Jackets,297
REI Revelcloud Jacket - Men's,Men's Synthetic Insulation Jackets,374
Mammut Crater Jacket - Men's,Men's Multi-Sport Rain Jackets,510
Mammut Tatoosh Jacket - Women's,Women's Multi-Sport Rain Jackets,311
Arc'teryx Fission SL Jacket - Men's,Men's Synthetic Insulation Jackets,547
Marmot PreCip Rain Jacket - Men's Tall,Men's Multi-Sport Rain Jackets,371
SmartWool Propulsion 60 Jacket - Women's,Women's Synthetic Insulation Jackets,317
Mountain Hardwear Arlando Jacket - Men's - 2014,Men's Fleece Jackets,453
The North Face Momentum Jacket - Men's,Men's Fleece Jackets,510
REI Windbrake Fleece Jacket - Men's,Men's Fleece Jackets,623
Mountain Hardwear Ghost Whisperer Down Hooded Jacket - Women's,Women's Down Jackets,198
Columbia EvaPOURation Rain Jacket - Men's,Men's Multi-Sport Rain Jackets,311
Patagonia Better Sweater Jacket - Women's,Women's Fleece Jackets,481
The North Face Chimborazo Full-Zip Fleece Jacket - Men's,Men's Fleece Jackets,609
Marmot Mont Blanc Jacket - Women's - 2014,Women's Fleece Jackets,249
Marmot Dillon Component Jacket - Women's - 2015,Women's Multi-Sport Rain Jackets,538
Mountain Hardwear Chocklite Jacket - Women's - 2014,Women's Soft-Shell Jackets,255
Marmot Zeus Down Jacket - Men's - 2015,Men's Down Jackets,408
Mountain Hardwear Dynotherm Down Hooded Jacket - Men's,Men's Down Jackets,396
Patagonia Better Sweater Fleece Jacket - Men's,Men's Fleece Jackets,453
Marmot Ama Dablam Jacket - Girls',Kids' Synthetic Insulation Jackets,331
Arc'teryx Norvan Jacket - Men's,Men's Running Jackets,212
Arc'teryx Arenite Jacket - Women's,Women's Fleece Jackets,368
The North Face ThermoBall Full-Zip Jacket - Women's - Discontinued,Women's Synthetic Insulation Jackets,300
The North Face Canyonwall Fleece Jacket - Men's,Men's Fleece Jackets,564
