name,category,weight
Goal Zero Luna LED Light,Electric Lanterns,39
Maglite Mini Maglite 2-AA Flashlight,Flashlights,116
Maglite 2D LED 3G Flashlight,Flashlights,703
Maglite Solitaire Key Ring Flashlight,Flashlights,24
Nathan Zephyr Fire 100 Hand Torch,Flashlights,116
Maglite XL200 LED Flashlight,Flashlights,104
Fenix E05 Flashlight,Flashlights,22
Nitecore P12 Flashlight,Flashlights,0
Nite Ize High Power LED Upgrade Kit - C/D Cell,Flashlight Accessories,3
Maglite Mini Maglite 2 AAA LED Flashlight,Flashlights,49
Soto Fill Adaptor,Fuel Canisters,25
Coleman CPX 6 Classic LED Lantern - 2013,Electric Lanterns,847
Sun Company Assorted WildLights,Flashlights,25
Ultimate Survival Technologies Pico Glo Lantern,Electric Lanterns,243
Nite Ize Lite Holster Stretch Flashlight Holster,Flashlight Accessories,56
Nite Ize Inova XS LED Flashlight,Flashlights,31
Coghlan's Filter Funnel,Camping Stove Accessories,14
BioLite FlexLight Light,Flashlights,51
Ultimate Survival Technologies BrightForce 2 AAA Flashlight,Flashlights,62
Life Gear Glow Stick with Whistle,Lightsticks,45
UCO Beeswax Tealight Candles - Package of 3,Candle Lanterns,14
Princeton Tec Pulsar II LED Light,Flashlights,7
Petzl Core USB Charger Kit,Headlamp Accessories,153
UCO Micro Candle Lantern,Candle Lanterns,0
Maglite 2-D Cell Flashlight,Flashlights,666
UCO Citronella Tealight Candles - Package of 6,Candle Lanterns,14
Exotac CandleTin Hot Burn Survival Candle - S,Candle Lanterns,45
Exotac CandleTin Hot Burn Survival Candle - L,Candle Lanterns,119
Petzl Ultra Rush Accu 4 Belt Headlamp,LED Headlamps,493
Nitecore MH25 Flashlight,Flashlights,191
Fenix RC40 Flashlight,Flashlights,1309
Petzl Tactikka Plus Headlamp,LED Headlamps,85
Nitecore P15 Flashlight,Flashlights,167
Nitecore SRT3 Flashlight,Flashlights,90
Maglite 2D LED Flashlight,Flashlights,652
Maglite MagLED Solitaire Flashlight,Flashlights,1
Fenix Fenix UC45 USB Rechargeable Flashlight,Flashlights,223
Fenix TK32 Flashlight,Flashlights,212
Fenix TK35 Ultimate Edition Flashlight,Flashlights,331
evrgrn Lowboy Lantern,Electric Lanterns,181
Petzl Pixa 3 Pro Rechargeable Headlamp,LED Headlamps,195
Ultimate Survival Technologies Floating Flashlight,Flashlights,158
Coleman Pack A Way Mini Led Lantern,Electric Lanterns,235
Princeton Tec Vizz Headlamp,LED Headlamps,92
Ultimate Survival Technologies Spright Lantern,Electric Lanterns,198
Ultimate Survival Technologies BrightForce LR44 Flashlight,Flashlights,22
Ultimate Survival Technologies BrightForce 2 AA Flashlight,Flashlights,141
